subject_ru,levels,type,topic_ru,topic_kz,prompt_ru,prompt_kz,options_ru,options_kz,correct_option_ids,sample_answer_ru,sample_answer_kz,keywords_ru,keywords_kz,explanation_ru,explanation_kz
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 8/9 + 1/9,Бөлшектердің қосындысын табыңыз: 8/9 + 1/9,7/9|80/81|1|82/81,7/9|80/81|1|82/81,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 5/10 + 4/8,Бөлшектердің қосындысын табыңыз: 5/10 + 4/8,79/80|0|1|81/80,79/80|0|1|81/80,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 7/9 + 3/4,Бөлшектердің қосындысын табыңыз: 7/9 + 3/4,14/9|1/36|55/36|3/2,14/9|1/36|55/36|3/2,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 1/7 + 4/2,Бөлшектердің қосындысын табыңыз: 1/7 + 4/2,31/14|15/7|-13/7|29/14,31/14|15/7|-13/7|29/14,2,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 6/5 + 9/6,Бөлшектердің қосындысын табыңыз: 6/5 + 9/6,-3/10|41/15|27/10|8/3,-3/10|41/15|27/10|8/3,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 5/8 + 8/4,Бөлшектердің қосындысын табыңыз: 5/8 + 8/4,-11/8|83/32|21/8|85/32,-11/8|83/32|21/8|85/32,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 7/2 + 8/8,Бөлшектердің қосындысын табыңыз: 7/2 + 8/8,73/16|5/2|71/16|9/2,73/16|5/2|71/16|9/2,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 1/8 + 1/10,Бөлшектердің қосындысын табыңыз: 1/8 + 1/10,9/40|19/80|17/80|1/40,9/40|19/80|17/80|1/40,1,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 3/3 + 1/2,Бөлшектердің қосындысын табыңыз: 3/3 + 1/2,5/3|4/3|1/2|3/2,5/3|4/3|1/2|3/2,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 5/9 + 4/7,Бөлшектердің қосындысын табыңыз: 5/9 + 4/7,8/7|10/9|71/63|-1/63,8/7|10/9|71/63|-1/63,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
